id,Actual,Predicted
205.0,4.0,4.0
968.0,4.0,4.0
131.0,5.0,4.0
485.0,4.0,4.0
634.0,5.0,4.0
328.0,4.0,4.0
558.0,4.0,4.0
908.0,4.0,4.0
1386.0,3.0,4.0
1062.0,3.0,4.0
810.0,4.0,4.0
1015.0,4.0,4.0
300.0,4.0,4.0
1307.0,4.0,4.0
1054.0,5.0,4.0
20.0,4.0,4.0
1243.0,4.0,4.0
1480.0,4.0,4.0
1320.0,4.0,4.0
1061.0,3.0,4.0
167.0,4.0,4.0
733.0,4.0,4.0
379.0,4.0,4.0
1329.0,2.0,4.0
678.0,3.0,4.0
1487.0,4.0,4.0
586.0,4.0,4.0
1235.0,3.0,4.0
758.0,4.0,4.0
664.0,5.0,4.0
169.0,4.0,4.0
306.0,4.0,4.0
877.0,4.0,4.0
1202.0,4.0,4.0
923.0,4.0,4.0
1116.0,4.0,4.0
142.0,4.0,4.0
1022.0,3.0,4.0
358.0,4.0,4.0
1278.0,4.0,4.0
33.0,4.0,4.0
1193.0,4.0,4.0
1531.0,5.0,4.0
1414.0,4.0,4.0
1131.0,4.0,4.0
1151.0,4.0,4.0
7.0,4.0,4.0
1053.0,3.0,4.0
1189.0,4.0,4.0
625.0,4.0,4.0
688.0,5.0,4.0
216.0,5.0,4.0
912.0,3.0,4.0
1128.0,4.0,4.0
436.0,4.0,4.0
697.0,4.0,4.0
1214.0,3.0,4.0
528.0,4.0,4.0
51.0,4.0,4.0
206.0,3.0,4.0
1223.0,4.0,4.0
687.0,5.0,4.0
966.0,4.0,4.0
253.0,4.0,4.0
1124.0,3.0,4.0
1291.0,4.0,4.0
779.0,3.0,4.0
679.0,4.0,4.0
1047.0,4.0,4.0
886.0,4.0,4.0
108.0,5.0,4.0
1156.0,2.0,4.0
1275.0,4.0,4.0
429.0,2.0,4.0
232.0,4.0,4.0
739.0,4.0,4.0
980.0,5.0,4.0
1239.0,4.0,4.0
1477.0,4.0,4.0
1440.0,4.0,4.0
971.0,4.0,4.0
340.0,4.0,4.0
1539.0,4.0,4.0
690.0,4.0,4.0
619.0,4.0,4.0
1006.0,4.0,4.0
383.0,4.0,4.0
1246.0,4.0,4.0
862.0,3.0,4.0
794.0,4.0,4.0
314.0,4.0,4.0
1501.0,4.0,4.0
240.0,4.0,4.0
778.0,4.0,4.0
1377.0,3.0,4.0
118.0,4.0,4.0
1108.0,4.0,4.0
285.0,4.0,4.0
1262.0,4.0,4.0
1023.0,4.0,4.0
237.0,3.0,4.0
1435.0,4.0,4.0
683.0,4.0,4.0
885.0,4.0,4.0
1059.0,4.0,4.0
667.0,4.0,4.0
374.0,4.0,4.0
1532.0,4.0,4.0
653.0,4.0,4.0
376.0,4.0,4.0
57.0,4.0,4.0
584.0,4.0,4.0
1378.0,4.0,4.0
97.0,4.0,4.0
245.0,4.0,4.0
948.0,4.0,4.0
1177.0,4.0,4.0
229.0,3.0,3.0
1266.0,4.0,4.0
974.0,4.0,4.0
1172.0,4.0,4.0
1009.0,4.0,4.0
506.0,4.0,4.0
1358.0,5.0,4.0
350.0,5.0,5.0
1064.0,4.0,4.0
559.0,4.0,4.0
1109.0,4.0,4.0
238.0,4.0,4.0
605.0,4.0,4.0
1282.0,4.0,4.0
459.0,4.0,4.0
1507.0,4.0,4.0
218.0,4.0,4.0
1187.0,4.0,4.0
1542.0,4.0,4.0
545.0,3.0,4.0
344.0,4.0,4.0
1412.0,3.0,4.0
95.0,4.0,4.0
500.0,3.0,4.0
1249.0,5.0,4.0
77.0,5.0,4.0
228.0,4.0,4.0
247.0,4.0,4.0
201.0,4.0,4.0
469.0,4.0,4.0
1554.0,4.0,4.0
1011.0,3.0,4.0
1096.0,4.0,4.0
86.0,4.0,4.0
785.0,4.0,4.0
746.0,5.0,4.0
623.0,4.0,4.0
1559.0,4.0,4.0
814.0,3.0,3.0
994.0,5.0,5.0
716.0,4.0,4.0
819.0,4.0,4.0
1082.0,4.0,4.0
58.0,4.0,4.0
283.0,3.0,4.0
1160.0,4.0,4.0
1555.0,5.0,5.0
1272.0,4.0,4.0
337.0,4.0,4.0
484.0,4.0,4.0
699.0,4.0,4.0
1165.0,3.0,4.0
317.0,4.0,4.0
1067.0,5.0,4.0
1481.0,4.0,4.0
1345.0,4.0,4.0
1337.0,4.0,4.0
530.0,4.0,4.0
914.0,4.0,4.0
889.0,4.0,4.0
498.0,4.0,4.0
640.0,4.0,4.0
428.0,4.0,4.0
772.0,4.0,4.0
334.0,4.0,4.0
12.0,3.0,4.0
804.0,4.0,4.0
538.0,3.0,4.0
257.0,4.0,4.0
1404.0,2.0,4.0
1250.0,4.0,4.0
341.0,3.0,4.0
1136.0,4.0,4.0
1065.0,4.0,4.0
271.0,4.0,4.0
1014.0,4.0,4.0
852.0,3.0,5.0
961.0,4.0,4.0
487.0,4.0,4.0
890.0,5.0,4.0
536.0,4.0,4.0
1436.0,4.0,4.0
28.0,4.0,4.0
1290.0,4.0,4.0
430.0,4.0,4.0
756.0,5.0,4.0
396.0,4.0,4.0
881.0,4.0,4.0
540.0,5.0,5.0
75.0,3.0,3.0
380.0,5.0,5.0
551.0,4.0,4.0
788.0,4.0,4.0
1322.0,4.0,4.0
1571.0,4.0,4.0
23.0,3.0,4.0
1381.0,3.0,4.0
212.0,4.0,4.0
163.0,4.0,4.0
674.0,4.0,4.0
1536.0,4.0,4.0
