id,Actual,Predicted
773.0,4.0,4.0
53.0,5.0,5.0
119.0,5.0,5.0
159.0,4.0,4.0
1127.0,4.0,4.0
696.0,3.0,5.0
1265.0,4.0,4.0
1528.0,4.0,4.0
1343.0,4.0,4.0
904.0,5.0,5.0
1496.0,5.0,4.0
1471.0,3.0,4.0
999.0,4.0,4.0
59.0,4.0,4.0
574.0,4.0,4.0
457.0,4.0,4.0
299.0,5.0,4.0
1315.0,4.0,4.0
79.0,4.0,4.0
132.0,4.0,4.0
1335.0,5.0,5.0
4.0,4.0,4.0
343.0,5.0,4.0
1523.0,4.0,4.0
526.0,5.0,4.0
518.0,4.0,4.0
431.0,4.0,4.0
949.0,4.0,4.0
926.0,4.0,4.0
1363.0,5.0,5.0
1439.0,4.0,4.0
128.0,4.0,4.0
357.0,3.0,4.0
68.0,3.0,3.0
694.0,3.0,4.0
112.0,4.0,4.0
26.0,4.0,4.0
524.0,4.0,4.0
1432.0,2.0,2.0
1321.0,4.0,4.0
790.0,4.0,4.0
103.0,4.0,4.0
1382.0,4.0,4.0
492.0,4.0,4.0
1543.0,5.0,4.0
1030.0,4.0,4.0
851.0,5.0,5.0
210.0,5.0,5.0
387.0,4.0,4.0
393.0,4.0,4.0
1349.0,4.0,4.0
787.0,4.0,4.0
534.0,5.0,5.0
522.0,3.0,3.0
1474.0,4.0,4.0
616.0,5.0,5.0
1466.0,3.0,3.0
627.0,4.0,4.0
1428.0,4.0,4.0
853.0,3.0,4.0
808.0,4.0,4.0
973.0,4.0,4.0
1036.0,4.0,4.0
1301.0,4.0,4.0
660.0,4.0,4.0
562.0,4.0,4.0
499.0,4.0,4.0
1286.0,3.0,3.0
230.0,4.0,4.0
1297.0,4.0,4.0
998.0,4.0,4.0
1139.0,4.0,4.0
964.0,5.0,5.0
